 (3.560065044950046498e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724960603e-01+0.000000000000000000e+00j)
 (5.720708937069934885e-01+0.000000000000000000e+00j)
 (5.479934955049953205e-01+0.000000000000000000e+00j)
 (4.872498447189992365e-01+0.000000000000000000e+00j)
 (4.130419513485014682e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950047053e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724959493e-01+0.000000000000000000e+00j)
 (5.720708937069935995e-01+0.000000000000000000e+00j)
 (5.479934955049954315e-01+0.000000000000000000e+00j)
 (4.872498447189992921e-01+0.000000000000000000e+00j)
 (4.130419513485014127e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950046498e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724960603e-01+0.000000000000000000e+00j)
 (5.720708937069934885e-01+0.000000000000000000e+00j)
 (5.479934955049953205e-01+0.000000000000000000e+00j)
 (4.872498447189992365e-01+0.000000000000000000e+00j)
 (4.130419513485014682e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950047053e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724959493e-01+0.000000000000000000e+00j)
 (5.720708937069935995e-01+0.000000000000000000e+00j)
 (5.479934955049954315e-01+0.000000000000000000e+00j)
 (4.872498447189992921e-01+0.000000000000000000e+00j)
 (4.130419513485014127e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950046498e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724960603e-01+0.000000000000000000e+00j)
 (5.720708937069934885e-01+0.000000000000000000e+00j)
 (5.479934955049953205e-01+0.000000000000000000e+00j)
 (4.872498447189992365e-01+0.000000000000000000e+00j)
 (4.130419513485014682e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950047053e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724959493e-01+0.000000000000000000e+00j)
 (5.720708937069935995e-01+0.000000000000000000e+00j)
 (5.479934955049954315e-01+0.000000000000000000e+00j)
 (4.872498447189992921e-01+0.000000000000000000e+00j)
 (4.130419513485014127e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950046498e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724960603e-01+0.000000000000000000e+00j)
 (5.720708937069934885e-01+0.000000000000000000e+00j)
 (5.479934955049953205e-01+0.000000000000000000e+00j)
 (4.872498447189992365e-01+0.000000000000000000e+00j)
 (4.130419513485014682e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950047053e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724959493e-01+0.000000000000000000e+00j)
 (5.720708937069935995e-01+0.000000000000000000e+00j)
 (5.479934955049954315e-01+0.000000000000000000e+00j)
 (4.872498447189992921e-01+0.000000000000000000e+00j)
 (4.130419513485014127e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950046498e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724960603e-01+0.000000000000000000e+00j)
 (5.720708937069934885e-01+0.000000000000000000e+00j)
 (5.479934955049953205e-01+0.000000000000000000e+00j)
 (4.872498447189992365e-01+0.000000000000000000e+00j)
 (4.130419513485014682e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
 (3.560065044950047053e-01+0.000000000000000000e+00j)
 (4.167501552810007892e-01+0.000000000000000000e+00j)
 (4.909580486514986686e-01+0.000000000000000000e+00j)
 (5.502852915724959493e-01+0.000000000000000000e+00j)
 (5.720708937069935995e-01+0.000000000000000000e+00j)
 (5.479934955049954315e-01+0.000000000000000000e+00j)
 (4.872498447189992921e-01+0.000000000000000000e+00j)
 (4.130419513485014127e-01+0.000000000000000000e+00j)
 (3.537147084275040765e-01+0.000000000000000000e+00j)
 (3.319291062930065372e-01+0.000000000000000000e+00j)
